id,COL1,COL2,COL3,COL4,LABEL
1,6,3,3,6,NO
2,4,8,5,7,NO
3,8,7,5,5,YES
4,4,2,10,5,YES
5,6,5,4,10,YES
6,1,5,6,4,NO
7,2,4,7,6,YES
8,8,4,8,7,YES
9,5,8,9,0,NO
10,10,1,4,8,YES
11,4,10,7,2,YES
12,4,3,5,6,NO
13,3,3,4,1,YES
14,9,3,4,2,NO
15,1,10,1,10,NO
16,0,2,5,8,YES
17,5,10,7,4,NO
18,1,8,9,5,YES
19,8,4,1,4,YES
20,3,4,3,0,NO
21,1,5,8,9,YES
22,2,3,8,0,YES
23,2,7,9,3,YES
24,3,7,4,4,NO
25,9,5,4,5,YES
26,9,5,8,4,NO
27,3,2,4,7,NO
28,6,1,3,7,YES
29,8,4,6,9,YES
30,9,6,7,5,YES
31,9,7,5,3,NO
32,9,8,8,5,NO
33,6,6,8,2,NO
34,1,10,4,6,YES
35,2,9,3,2,NO
36,6,6,6,10,NO
37,6,4,9,5,NO
38,7,2,8,7,NO
39,8,8,7,2,YES
40,1,8,9,6,NO
41,3,1,10,6,NO
42,10,5,3,3,YES
43,8,6,9,4,YES
44,5,7,6,5,YES
45,0,3,6,7,NO
46,6,9,8,4,YES
47,0,1,0,8,YES
48,7,2,9,9,YES
49,5,4,0,3,NO
50,7,1,7,8,YES
51,5,3,4,4,NO
52,6,9,3,6,NO
53,6,8,9,6,YES
54,8,1,3,2,NO
55,2,8,7,2,YES
56,6,2,8,4,NO
57,7,3,8,1,YES
58,9,6,4,10,YES
59,9,4,1,4,NO
60,7,8,1,1,YES
61,0,1,6,1,NO
62,8,1,4,3,NO
63,9,3,6,7,YES
64,4,1,3,5,YES
65,4,4,4,7,YES
66,4,6,5,7,NO
67,7,1,4,5,YES
68,1,7,6,4,NO
69,5,2,2,7,NO
70,3,2,1,4,NO
71,3,2,1,3,YES
72,0,9,3,8,NO
73,6,5,8,5,NO
74,8,4,5,7,NO
75,2,9,2,5,NO
76,5,3,1,1,NO
77,9,8,7,7,YES
78,2,7,9,1,YES
79,10,4,4,10,NO
80,3,5,3,5,NO
81,3,4,7,5,YES
82,6,6,2,3,YES
83,3,5,8,7,YES
84,2,6,0,7,YES
85,6,8,5,5,NO
86,3,5,5,2,YES
87,3,2,8,8,YES
88,8,1,7,9,YES
89,6,4,3,7,NO
90,9,9,4,3,YES
91,6,4,6,6,NO
92,3,1,9,10,YES
93,3,7,1,7,NO
94,7,2,8,5,NO
95,2,8,3,1,NO
96,2,2,4,5,YES
97,0,4,2,8,NO
98,1,6,6,7,NO
99,9,8,5,1,YES
100,0,6,1,9,NO
101,3,4,6,5,NO
102,6,3,4,7,NO
103,4,2,7,7,NO
104,4,10,8,7,YES
105,5,5,3,7,NO
106,3,8,8,0,YES
107,5,5,9,3,NO
108,2,6,8,8,NO
109,6,7,7,9,YES
110,5,5,9,7,NO
111,8,5,5,7,YES
112,2,5,3,2,NO
113,5,3,8,0,NO
114,8,4,10,2,NO
115,5,6,7,6,NO
116,3,3,9,8,YES
117,7,9,9,10,YES
118,0,3,3,6,NO
119,2,8,3,4,YES
120,2,0,5,4,YES
121,5,9,4,9,YES
122,4,3,2,4,YES
123,6,7,2,5,NO
124,1,8,1,5,YES
125,5,8,5,7,YES
126,1,6,10,4,YES
127,7,4,0,8,YES
128,8,5,7,6,NO
129,2,9,7,1,YES
130,3,7,6,2,NO
131,3,8,7,9,YES
132,0,2,6,7,YES
133,0,10,2,3,YES
134,4,3,6,0,YES
135,2,5,10,1,NO
136,8,7,10,0,YES
137,3,1,2,10,NO
138,5,2,4,4,YES
139,1,2,9,1,YES
140,5,3,2,8,NO
141,1,3,5,0,YES
142,6,3,6,9,NO
143,3,6,7,8,NO
144,6,10,7,1,NO
145,1,9,2,4,NO
146,3,5,1,10,YES
147,8,0,4,3,YES
148,1,6,6,3,NO
149,8,9,6,4,YES
150,8,7,1,7,YES
151,9,0,9,0,NO
152,9,0,4,5,NO
153,0,7,8,8,YES
154,9,7,5,7,NO
155,1,6,5,5,YES
156,7,4,8,2,YES
157,3,6,4,1,NO
158,9,3,3,7,NO
159,5,6,1,9,YES
160,1,4,4,1,NO
161,6,10,10,2,NO
162,7,8,3,10,NO
163,7,0,8,9,NO
164,2,10,1,2,YES
165,5,7,6,7,YES
166,9,4,1,3,YES
167,7,5,3,9,NO
168,8,10,6,10,NO
169,2,7,5,1,YES
170,9,7,2,8,NO
171,10,6,8,8,NO
172,2,8,9,2,YES
173,3,4,4,3,NO
174,5,10,10,0,YES
175,4,0,3,4,YES
176,1,1,2,6,NO
177,8,5,3,6,NO
178,8,2,1,4,YES
179,8,1,7,2,NO
180,8,1,2,8,YES
181,1,2,1,6,NO
182,3,9,2,10,NO
183,5,6,3,10,NO
184,6,6,3,10,YES
185,2,4,3,5,NO
186,2,9,6,5,NO
187,2,4,0,6,NO
188,6,8,7,3,NO
189,1,7,3,3,NO
190,0,6,9,4,YES
